store_id,store_name,store_email
1,store_1,store_2@email.com
2,store_2,store_2@email.com
3,store_3,store_2@email.com
4,store_4,store_2@email.com
5,store_5,store_2@email.com
6,store_6,store_2@email.com
7,store_7,store_2@email.com
8,store_8,store_2@email.com
9,store_9,store_2@email.com
10,store_10,store_2@email.com
11,store_11,store_2@email.com
12,store_12,store_2@email.com
13,store_13,store_2@email.com
14,store_14,store_2@email.com
15,store_15,store_2@email.com
16,store_16,store_2@email.com
17,store_17,store_2@email.com
